titles,category
 영상   김건희 여사의 사과 필요한가  묻자 한동훈  지금까지 말한 것에 대해 더 말하지 않겠다 ,Politics
민주  총선  호 공약  동원 예비군  년 단축 병사 통신비 할인    로,Politics
이재명  이언주에 복당 권유    진지하게 고민하겠다 ,Politics
민주당   민주 미래 희망  삼색 깃발로 로고 바꾼다,Politics
이준석      갈등   김경율 거취 줄다리기  쟁점으로 갈 것 ,Politics
금태섭  민주당  한동훈   아바타  비판  이재명 아바타  현실을 스스로 돌아보라 ,Politics
불출마 김웅  김 여사  사저 가거나 해외로 나가라 ,Politics
 속보  이재명      화재현장 방문에  절규하는 국민 배경 정치쇼 ,Politics
홍익표   대통령 한동훈  재난현장을 화해 장식품으로 사용해 ,Politics
민주당   차 인재영입은  민생경제 전문가  김남근 변호사,Politics
 중처법 확대 시행 D     중기는 하소연 논의는 공전 굿모닝경제 ,Economic
경기도 FTA 활용 통상 지원  중소기업    가  만족 ,Economic
엇갈리는     증시 미 증시 시총  중화권보다   경  ,Economic
 분기에도  위험 한 가계 기업 신용에   금융권  대출 문턱 높인다 ,Economic
금융권  충남 서천특화시장 화재 피해 상인 긴급 지원,Economic
경제 단체    인 미만 사업장 중대재해법 적용 유예해야 ,Economic
문체부  영종도 인스파이어 외국인 카지노 허가   년 만에 신규,Economic
이복현 금융감독원장  PF 리스크 관리 실패땐 엄중한 책임 묻겠다 ,Economic
관세청  해외직구 성수기 위조 상품   만점 적발 ,Economic
LGD  작년  분기 영업익     억원  개 분기 만에 흑자전환,Economic
 위안부는 매춘  발언 류석춘 무죄 정대협 명예훼손 벌금    만원  오늘 이슈 ,Social
보은군  귀농인 대상 농업창업 주택구입 비용 지원,Social
전라남도  전남형 교육발전특구 안  모델 마련 박차,Social
울산 기암괴석  바다남  낙서 범인 잡혀  액운 막으려 ,Social
 최강한파 에 전국이  꽁꽁  계량기 수도관 동파되고 하늘길 뱃길 끊겨,Social
 한우 성장 연관 유전자 찾았다  농진청  핵심 유전자   종 발굴,Social
검찰   장학회 수억대 횡령  김만복 전 국정원장  심 판결에 항소,Social
올림픽대로서 시속   km로 느릿느릿    길막  유튜버 논란,Social
불산 누출로 호흡기 질환 대법  개연성 입증됐다면 배상책임 ,Social
롤스로이스   징역   년 피해자 측  검찰 구형 더 높았다면  종합 ,Social
유인촌  정부 주도로 K 만화 웹툰 육성  만화진흥위  신설 ,Culture
 전국 하늘  맑음  아침 최저    도 내일 날씨 ,Culture
 강추위에 전국  꽁꽁  대관령 체감 온도      도 날씨 ,Culture
셀린 송 감독  패스트 라이브즈     아카데미 각본상 후보 종합 ,Culture
 베링해 한파  서울 체감 영하     도  제주엔  만여명 발 묶여,Culture
운전자 기분따라 실내 색깔이 바뀐다 현대모비스  휴먼센트릭 조명기술 개발,Culture
 애플 뮤직 클래시컬  국내 출시  임윤찬 조성진 손열음 협업,Culture
노랑풍선  함께하는 사랑밭과 사회공헌 업무협약 체결,Culture
멕시코 최대갑부 슬림   년간 자산    증가     조원 ,World
 눈 오는 날은  초코치노  먹는 날  눈  먹어도 될까요 ,World
 이 하마스  한달 휴전과 인질 수감자 교환에 원칙적 합의 ,World
푸틴   월 이후 방북할 듯      북러 밀착 우려 ,World
    년생    아이코 공주가 택한  첫 직장 ,World
트럼프 대세론 vs 헤일리 바람 뉴햄프셔주 결과 곧 공개,World
바이든이 투표 불참 독려     경선  딥페이크 가짜전화  기승,World
  개국  미 영 후티 추가 공습 지지 성명 한국도 포함,World
하마스 유탄에 이스라엘 병사   명 몰사 개전 후 최대,World
우크라에 쏜 러시아 미사일에 한글 표기      미사일 사용 명백 ,World
  게임 규제책 방향 트나  중국 경제난 돌파에 게임 중요 ,IT
KT  경로당 어르신 위한  지니 TV 버스정보 알리미  출시,IT
갤럭시 S    인도 판매 신기록 사전예약  일만에   만대 돌파,IT
AI로 고객 의견 분석 LG U    VOC LAB  오픈,IT
 간편히 탄소중립포인트 쌓고  네이버페이로 사용하세요 ,IT
 단독   AI가 나이키 직원처럼 소개    네이버  브랜드챗 첫선,IT
 희소 난치성  유전성 하지마비 질환 치료법 찾았다,IT
연내   내비게이션에서 침수도로 위험 알린다,IT
